daily_demand,invoice_year,invoice_month,invoice_day,weekend,festive_month,holidays,weekday,quarter,service_type_enc
1,2017,1,8,0,0,0,7,1,80
2,2017,1,8,0,0,0,7,1,108
3,2017,1,8,0,0,0,7,1,125
2,2017,1,8,0,0,0,7,1,127
1,2017,1,8,0,0,0,7,1,130
6,2017,1,8,0,0,0,7,1,148
4,2017,1,8,0,0,0,7,1,209
1,2017,1,8,0,0,0,7,1,270
1,2017,1,8,0,0,0,7,1,299
2,2017,1,8,0,0,0,7,1,346
1,2017,1,8,0,0,0,7,1,381
1,2017,1,8,0,0,0,7,1,391
1,2017,1,8,0,0,0,7,1,392
1,2017,1,8,0,0,0,7,1,399
1,2017,1,8,0,0,0,7,1,434
1,2017,1,8,0,0,0,7,1,442
1,2017,1,8,0,0,0,7,1,463
1,2017,1,8,0,0,0,7,1,483
1,2017,1,8,0,0,0,7,1,493
1,2017,1,8,0,0,0,7,1,494
2,2017,1,9,0,0,0,1,1,2
4,2017,1,9,0,0,0,1,1,10
1,2017,1,9,0,0,0,1,1,11
3,2017,1,9,0,0,0,1,1,31
1,2017,1,9,0,0,0,1,1,46
1,2017,1,9,0,0,0,1,1,71
5,2017,1,9,0,0,0,1,1,76
1,2017,1,9,0,0,0,1,1,77
1,2017,1,9,0,0,0,1,1,80
3,2017,1,9,0,0,0,1,1,84
1,2017,1,9,0,0,0,1,1,85
1,2017,1,9,0,0,0,1,1,87
2,2017,1,9,0,0,0,1,1,108
3,2017,1,9,0,0,0,1,1,114
3,2017,1,9,0,0,0,1,1,115
2,2017,1,9,0,0,0,1,1,125
2,2017,1,9,0,0,0,1,1,128
3,2017,1,9,0,0,0,1,1,142
7,2017,1,9,0,0,0,1,1,148
1,2017,1,9,0,0,0,1,1,154
1,2017,1,9,0,0,0,1,1,166
3,2017,1,9,0,0,0,1,1,209
1,2017,1,9,0,0,0,1,1,235
1,2017,1,9,0,0,0,1,1,237
3,2017,1,9,0,0,0,1,1,245
3,2017,1,9,0,0,0,1,1,280
2,2017,1,9,0,0,0,1,1,281
3,2017,1,9,0,0,0,1,1,318
1,2017,1,9,0,0,0,1,1,321
1,2017,1,9,0,0,0,1,1,327
3,2017,1,9,0,0,0,1,1,329
1,2017,1,9,0,0,0,1,1,346
1,2017,1,9,0,0,0,1,1,381
3,2017,1,9,0,0,0,1,1,407
2,2017,1,9,0,0,0,1,1,451
3,2017,1,9,0,0,0,1,1,453
3,2017,1,9,0,0,0,1,1,455
3,2017,1,9,0,0,0,1,1,464
3,2017,1,9,0,0,0,1,1,465
3,2017,1,9,0,0,0,1,1,466
1,2017,1,9,0,0,0,1,1,483
1,2017,1,9,0,0,0,1,1,485
3,2017,1,9,0,0,0,1,1,500
1,2017,1,10,0,0,0,2,1,2
2,2017,1,10,0,0,0,2,1,10
2,2017,1,10,0,0,0,2,1,46
2,2017,1,10,0,0,0,2,1,76
1,2017,1,10,0,0,0,2,1,79
1,2017,1,10,0,0,0,2,1,80
1,2017,1,10,0,0,0,2,1,108
1,2017,1,10,0,0,0,2,1,125
1,2017,1,10,0,0,0,2,1,128
3,2017,1,10,0,0,0,2,1,148
2,2017,1,10,0,0,0,2,1,209
1,2017,1,10,0,0,0,2,1,346
5,2017,1,11,0,0,0,3,1,2
3,2017,1,11,0,0,0,3,1,10
3,2017,1,11,0,0,0,3,1,11
1,2017,1,11,0,0,0,3,1,16
1,2017,1,11,0,0,0,3,1,46
1,2017,1,11,0,0,0,3,1,62
1,2017,1,11,0,0,0,3,1,67
10,2017,1,11,0,0,0,3,1,76
1,2017,1,11,0,0,0,3,1,77
1,2017,1,11,0,0,0,3,1,80
1,2017,1,11,0,0,0,3,1,102
5,2017,1,11,0,0,0,3,1,108
6,2017,1,11,0,0,0,3,1,125
2,2017,1,11,0,0,0,3,1,128
1,2017,1,11,0,0,0,3,1,139
1,2017,1,11,0,0,0,3,1,145
9,2017,1,11,0,0,0,3,1,148
1,2017,1,11,0,0,0,3,1,175
1,2017,1,11,0,0,0,3,1,204
5,2017,1,11,0,0,0,3,1,209
1,2017,1,11,0,0,0,3,1,216
1,2017,1,11,0,0,0,3,1,267
2,2017,1,11,0,0,0,3,1,268
1,2017,1,11,0,0,0,3,1,301
1,2017,1,11,0,0,0,3,1,340
6,2017,1,11,0,0,0,3,1,346
2,2017,1,11,0,0,0,3,1,407
1,2017,1,11,0,0,0,3,1,426
1,2017,1,11,0,0,0,3,1,452
1,2017,1,11,0,0,0,3,1,471
1,2017,1,11,0,0,0,3,1,483
1,2017,1,12,0,0,0,4,1,2
2,2017,1,12,0,0,0,4,1,76
2,2017,1,12,0,0,0,4,1,108
2,2017,1,12,0,0,0,4,1,148
2,2017,1,12,0,0,0,4,1,318
3,2017,2,6,1,0,0,1,1,2
1,2017,2,6,1,0,0,1,1,3
1,2017,2,6,1,0,0,1,1,52
4,2017,2,6,1,0,0,1,1,76
1,2017,2,6,1,0,0,1,1,90
1,2017,2,6,1,0,0,1,1,108
1,2017,2,6,1,0,0,1,1,109
5,2017,2,6,1,0,0,1,1,148
1,2017,2,6,1,0,0,1,1,199
1,2017,2,6,1,0,0,1,1,206
1,2017,2,6,1,0,0,1,1,257
1,2017,2,6,1,0,0,1,1,258
1,2017,2,6,1,0,0,1,1,318
1,2017,2,6,1,0,0,1,1,346
1,2017,2,6,1,0,0,1,1,373
4,2017,2,8,0,0,0,3,1,2
1,2017,2,8,0,0,0,3,1,75
6,2017,2,8,0,0,0,3,1,76
4,2017,2,8,0,0,0,3,1,108
6,2017,2,8,0,0,0,3,1,148
2,2017,2,8,0,0,0,3,1,209
1,2017,2,8,0,0,0,3,1,327
4,2017,2,8,0,0,0,3,1,346
1,2017,2,8,0,0,0,3,1,445
5,2017,2,9,0,0,0,4,1,2
1,2017,2,9,0,0,0,4,1,10
3,2017,2,9,0,0,0,4,1,46
1,2017,2,9,0,0,0,4,1,71
8,2017,2,9,0,0,0,4,1,76
5,2017,2,9,0,0,0,4,1,108
1,2017,2,9,0,0,0,4,1,125
8,2017,2,9,0,0,0,4,1,148
3,2017,2,9,0,0,0,4,1,209
1,2017,2,9,0,0,0,4,1,212
1,2017,2,9,0,0,0,4,1,318
1,2017,2,9,0,0,0,4,1,335
2,2017,2,9,0,0,0,4,1,346
1,2017,2,9,0,0,0,4,1,407
1,2017,2,9,0,0,0,4,1,483
6,2017,2,10,0,0,0,5,1,2
7,2017,2,10,0,0,0,5,1,10
2,2017,2,10,0,0,0,5,1,46
10,2017,2,10,0,0,0,5,1,76
1,2017,2,10,0,0,0,5,1,101
6,2017,2,10,0,0,0,5,1,108
1,2017,2,10,0,0,0,5,1,117
1,2017,2,10,0,0,0,5,1,124
1,2017,2,10,0,0,0,5,1,125
10,2017,2,10,0,0,0,5,1,148
1,2017,2,10,0,0,0,5,1,193
4,2017,2,10,0,0,0,5,1,209
1,2017,2,10,0,0,0,5,1,227
4,2017,2,10,0,0,0,5,1,346
1,2017,2,10,0,0,0,5,1,407
1,2017,2,10,0,0,0,5,1,444
1,2017,2,10,0,0,0,5,1,501
2,2017,2,11,0,0,0,6,1,2
2,2017,2,11,0,0,0,6,1,10
2,2017,2,11,0,0,0,6,1,11
4,2017,2,11,0,0,0,6,1,76
1,2017,2,11,0,0,0,6,1,80
1,2017,2,11,0,0,0,6,1,84
1,2017,2,11,0,0,0,6,1,86
1,2017,2,11,0,0,0,6,1,90
2,2017,2,11,0,0,0,6,1,108
2,2017,2,11,0,0,0,6,1,125
2,2017,2,11,0,0,0,6,1,128
5,2017,2,11,0,0,0,6,1,148
3,2017,2,11,0,0,0,6,1,209
1,2017,2,11,0,0,0,6,1,235
1,2017,2,11,0,0,0,6,1,318
2,2017,2,11,0,0,0,6,1,346
1,2017,2,11,0,0,0,6,1,407
1,2017,2,11,0,0,0,6,1,483
3,2017,2,12,0,0,0,7,1,2
9,2017,2,12,0,0,0,7,1,10
1,2017,2,12,0,0,0,7,1,17
1,2017,2,12,0,0,0,7,1,35
4,2017,2,12,0,0,0,7,1,46
9,2017,2,12,0,0,0,7,1,76
1,2017,2,12,0,0,0,7,1,99
1,2017,2,12,0,0,0,7,1,108
1,2017,2,12,0,0,0,7,1,109
1,2017,2,12,0,0,0,7,1,117
1,2017,2,12,0,0,0,7,1,124
1,2017,2,12,0,0,0,7,1,125
2,2017,2,12,0,0,0,7,1,128
10,2017,2,12,0,0,0,7,1,148
7,2017,2,12,0,0,0,7,1,209
1,2017,2,12,0,0,0,7,1,237
1,2017,2,12,0,0,0,7,1,257
1,2017,2,12,0,0,0,7,1,268
1,2017,2,12,0,0,0,7,1,318
1,2017,2,12,0,0,0,7,1,331
1,2017,2,12,0,0,0,7,1,346
1,2017,2,12,0,0,0,7,1,359
1,2017,2,12,0,0,0,7,1,383
1,2017,2,12,0,0,0,7,1,442
1,2017,2,12,0,0,0,7,1,445
1,2017,2,12,0,0,0,7,1,459
1,2017,2,12,0,0,0,7,1,460
1,2017,2,12,0,0,0,7,1,467
2,2017,2,12,0,0,0,7,1,483
2,2017,3,6,1,0,0,1,1,2
1,2017,3,6,1,0,0,1,1,10
1,2017,3,6,1,0,0,1,1,11
1,2017,3,6,1,0,0,1,1,31
4,2017,3,6,1,0,0,1,1,76
1,2017,3,6,1,0,0,1,1,84
1,2017,3,6,1,0,0,1,1,85
1,2017,3,6,1,0,0,1,1,86
1,2017,3,6,1,0,0,1,1,108
1,2017,3,6,1,0,0,1,1,115
1,2017,3,6,1,0,0,1,1,120
3,2017,3,6,1,0,0,1,1,125
1,2017,3,6,1,0,0,1,1,127
2,2017,3,6,1,0,0,1,1,128
5,2017,3,6,1,0,0,1,1,148
1,2017,3,6,1,0,0,1,1,166
2,2017,3,6,1,0,0,1,1,209
1,2017,3,6,1,0,0,1,1,245
1,2017,3,6,1,0,0,1,1,246
1,2017,3,6,1,0,0,1,1,257
1,2017,3,6,1,0,0,1,1,280
1,2017,3,6,1,0,0,1,1,285
1,2017,3,6,1,0,0,1,1,299
1,2017,3,6,1,0,0,1,1,324
1,2017,3,6,1,0,0,1,1,329
1,2017,3,6,1,0,0,1,1,346
1,2017,3,6,1,0,0,1,1,407
1,2017,3,6,1,0,0,1,1,437
1,2017,3,6,1,0,0,1,1,451
1,2017,3,6,1,0,0,1,1,453
1,2017,3,6,1,0,0,1,1,455
1,2017,3,6,1,0,0,1,1,464
1,2017,3,6,1,0,0,1,1,465
1,2017,3,6,1,0,0,1,1,466
2,2017,3,7,1,0,0,2,1,2
4,2017,3,7,1,0,0,2,1,11
3,2017,3,7,1,0,0,2,1,76
1,2017,3,7,1,0,0,2,1,80
2,2017,3,7,1,0,0,2,1,108
5,2017,3,7,1,0,0,2,1,148
2,2017,3,7,1,0,0,2,1,209
1,2017,3,7,1,0,0,2,1,268
2,2017,3,7,1,0,0,2,1,346
1,2017,3,7,1,0,0,2,1,442
1,2017,3,7,1,0,0,2,1,460
1,2017,3,7,1,0,0,2,1,483
2,2017,3,8,0,0,0,3,1,2
1,2017,3,8,0,0,0,3,1,10
1,2017,3,8,0,0,0,3,1,46
3,2017,3,8,0,0,0,3,1,76
1,2017,3,8,0,0,0,3,1,108
1,2017,3,8,0,0,0,3,1,128
3,2017,3,8,0,0,0,3,1,148
1,2017,3,8,0,0,0,3,1,206
3,2017,3,8,0,0,0,3,1,209
1,2017,3,8,0,0,0,3,1,257
1,2017,3,8,0,0,0,3,1,301
1,2017,3,8,0,0,0,3,1,318
1,2017,3,8,0,0,0,3,1,346
1,2017,3,8,0,0,0,3,1,463
1,2017,3,8,0,0,0,3,1,490
1,2017,3,9,0,0,0,4,1,2
2,2017,3,9,0,0,0,4,1,10
1,2017,3,9,0,0,0,4,1,15
2,2017,3,9,0,0,0,4,1,46
3,2017,3,9,0,0,0,4,1,76
1,2017,3,9,0,0,0,4,1,108
1,2017,3,9,0,0,0,4,1,125
3,2017,3,9,0,0,0,4,1,148
2,2017,3,9,0,0,0,4,1,209
1,2017,3,9,0,0,0,4,1,257
1,2017,3,9,0,0,0,4,1,346
1,2017,3,9,0,0,0,4,1,393
1,2017,3,9,0,0,0,4,1,483
1,2017,3,9,0,0,0,4,1,500
1,2017,3,10,0,0,0,5,1,2
2,2017,3,10,0,0,0,5,1,10
1,2017,3,10,0,0,0,5,1,11
1,2017,3,10,0,0,0,5,1,15
1,2017,3,10,0,0,0,5,1,46
5,2017,3,10,0,0,0,5,1,76
2,2017,3,10,0,0,0,5,1,80
1,2017,3,10,0,0,0,5,1,108
1,2017,3,10,0,0,0,5,1,125
1,2017,3,10,0,0,0,5,1,128
7,2017,3,10,0,0,0,5,1,148
6,2017,3,10,0,0,0,5,1,209
1,2017,3,10,0,0,0,5,1,282
2,2017,3,10,0,0,0,5,1,318
1,2017,3,10,0,0,0,5,1,346
1,2017,3,10,0,0,0,5,1,351
1,2017,3,10,0,0,0,5,1,391
1,2017,3,10,0,0,0,5,1,394
1,2017,3,10,0,0,0,5,1,407
1,2017,3,10,0,0,0,5,1,444
1,2017,3,10,0,0,0,5,1,445
4,2017,3,11,0,0,0,6,1,2
4,2017,3,11,0,0,0,6,1,11
1,2017,3,11,0,0,0,6,1,13
1,2017,3,11,0,0,0,6,1,15
1,2017,3,11,0,0,0,6,1,25
1,2017,3,11,0,0,0,6,1,27
1,2017,3,11,0,0,0,6,1,40
2,2017,3,11,0,0,0,6,1,46
1,2017,3,11,0,0,0,6,1,52
1,2017,3,11,0,0,0,6,1,64
1,2017,3,11,0,0,0,6,1,68
5,2017,3,11,0,0,0,6,1,76
1,2017,3,11,0,0,0,6,1,77
1,2017,3,11,0,0,0,6,1,80
4,2017,3,11,0,0,0,6,1,108
3,2017,3,11,0,0,0,6,1,125
1,2017,3,11,0,0,0,6,1,128
5,2017,3,11,0,0,0,6,1,148
2,2017,3,11,0,0,0,6,1,209
1,2017,3,11,0,0,0,6,1,227
1,2017,3,11,0,0,0,6,1,253
1,2017,3,11,0,0,0,6,1,257
1,2017,3,11,0,0,0,6,1,258
4,2017,3,11,0,0,0,6,1,268
1,2017,3,11,0,0,0,6,1,301
1,2017,3,11,0,0,0,6,1,318
4,2017,3,11,0,0,0,6,1,346
1,2017,3,11,0,0,0,6,1,353
1,2017,3,11,0,0,0,6,1,367
1,2017,3,11,0,0,0,6,1,407
1,2017,3,11,0,0,0,6,1,434
1,2017,3,11,0,0,0,6,1,437
1,2017,3,11,0,0,0,6,1,444
1,2017,3,11,0,0,0,6,1,493
3,2017,3,12,0,0,0,7,1,2
3,2017,3,12,0,0,0,7,1,10
3,2017,3,12,0,0,0,7,1,76
1,2017,3,12,0,0,0,7,1,77
1,2017,3,12,0,0,0,7,1,80
1,2017,3,12,0,0,0,7,1,84
1,2017,3,12,0,0,0,7,1,90
1,2017,3,12,0,0,0,7,1,94
2,2017,3,12,0,0,0,7,1,108
5,2017,3,12,0,0,0,7,1,148
1,2017,3,12,0,0,0,7,1,209
1,2017,3,12,0,0,0,7,1,301
2,2017,3,12,0,0,0,7,1,318
1,2017,3,12,0,0,0,7,1,346
3,2017,4,6,1,0,0,4,2,2
3,2017,4,6,1,0,0,4,2,11
3,2017,4,6,1,0,0,4,2,33
1,2017,4,6,1,0,0,4,2,74
5,2017,4,6,1,0,0,4,2,76
2,2017,4,6,1,0,0,4,2,108
2,2017,4,6,1,0,0,4,2,125
1,2017,4,6,1,0,0,4,2,133
1,2017,4,6,1,0,0,4,2,146
5,2017,4,6,1,0,0,4,2,148
1,2017,4,6,1,0,0,4,2,209
1,2017,4,6,1,0,0,4,2,318
2,2017,4,6,1,0,0,4,2,346
1,2017,4,6,1,0,0,4,2,467
1,2017,4,6,1,0,0,4,2,483
3,2017,4,7,1,0,0,5,2,2
1,2017,4,7,1,0,0,5,2,8
4,2017,4,7,1,0,0,5,2,11
1,2017,4,7,1,0,0,5,2,46
8,2017,4,7,1,0,0,5,2,76
1,2017,4,7,1,0,0,5,2,90
1,2017,4,7,1,0,0,5,2,94
3,2017,4,7,1,0,0,5,2,108
1,2017,4,7,1,0,0,5,2,125
1,2017,4,7,1,0,0,5,2,127
2,2017,4,7,1,0,0,5,2,128
8,2017,4,7,1,0,0,5,2,148
1,2017,4,7,1,0,0,5,2,182
1,2017,4,7,1,0,0,5,2,206
5,2017,4,7,1,0,0,5,2,209
1,2017,4,7,1,0,0,5,2,214
1,2017,4,7,1,0,0,5,2,258
2,2017,4,7,1,0,0,5,2,318
2,2017,4,7,1,0,0,5,2,346
1,2017,4,7,1,0,0,5,2,374
1,2017,4,7,1,0,0,5,2,436
1,2017,4,7,1,0,0,5,2,483
2,2017,4,8,0,0,0,6,2,2
2,2017,4,8,0,0,0,6,2,10
1,2017,4,8,0,0,0,6,2,15
5,2017,4,8,0,0,0,6,2,76
1,2017,4,8,0,0,0,6,2,84
1,2017,4,8,0,0,0,6,2,86
1,2017,4,8,0,0,0,6,2,90
1,2017,4,8,0,0,0,6,2,94
2,2017,4,8,0,0,0,6,2,108
1,2017,4,8,0,0,0,6,2,125
1,2017,4,8,0,0,0,6,2,128
1,2017,4,8,0,0,0,6,2,130
5,2017,4,8,0,0,0,6,2,148
3,2017,4,8,0,0,0,6,2,209
1,2017,4,8,0,0,0,6,2,235
1,2017,4,8,0,0,0,6,2,318
1,2017,4,8,0,0,0,6,2,331
2,2017,4,8,0,0,0,6,2,346
2,2017,4,9,0,0,1,7,2,2
3,2017,4,9,0,0,1,7,2,10
1,2017,4,9,0,0,1,7,2,11
1,2017,4,9,0,0,1,7,2,28
1,2017,4,9,0,0,1,7,2,31
3,2017,4,9,0,0,1,7,2,46
7,2017,4,9,0,0,1,7,2,76
1,2017,4,9,0,0,1,7,2,79
1,2017,4,9,0,0,1,7,2,80
2,2017,4,9,0,0,1,7,2,84
1,2017,4,9,0,0,1,7,2,90
1,2017,4,9,0,0,1,7,2,94
1,2017,4,9,0,0,1,7,2,99
1,2017,4,9,0,0,1,7,2,108
1,2017,4,9,0,0,1,7,2,114
1,2017,4,9,0,0,1,7,2,115
1,2017,4,9,0,0,1,7,2,117
2,2017,4,9,0,0,1,7,2,128
1,2017,4,9,0,0,1,7,2,142
8,2017,4,9,0,0,1,7,2,148
1,2017,4,9,0,0,1,7,2,160
1,2017,4,9,0,0,1,7,2,166
6,2017,4,9,0,0,1,7,2,209
1,2017,4,9,0,0,1,7,2,227
1,2017,4,9,0,0,1,7,2,245
2,2017,4,9,0,0,1,7,2,257
1,2017,4,9,0,0,1,7,2,270
1,2017,4,9,0,0,1,7,2,280
1,2017,4,9,0,0,1,7,2,281
1,2017,4,9,0,0,1,7,2,318
1,2017,4,9,0,0,1,7,2,327
1,2017,4,9,0,0,1,7,2,329
1,2017,4,9,0,0,1,7,2,346
1,2017,4,9,0,0,1,7,2,353
2,2017,4,9,0,0,1,7,2,407
2,2017,4,9,0,0,1,7,2,434
2,2017,4,9,0,0,1,7,2,445
1,2017,4,9,0,0,1,7,2,451
1,2017,4,9,0,0,1,7,2,453
1,2017,4,9,0,0,1,7,2,455
1,2017,4,9,0,0,1,7,2,464
1,2017,4,9,0,0,1,7,2,465
1,2017,4,9,0,0,1,7,2,466
3,2017,4,9,0,0,1,7,2,483
1,2017,4,9,0,0,1,7,2,493
3,2017,4,9,0,0,1,7,2,500
2,2017,4,10,0,0,0,1,2,2
1,2017,4,10,0,0,0,1,2,10
1,2017,4,10,0,0,0,1,2,11
1,2017,4,10,0,0,0,1,2,46
1,2017,4,10,0,0,0,1,2,55
1,2017,4,10,0,0,0,1,2,69
4,2017,4,10,0,0,0,1,2,76
1,2017,4,10,0,0,0,1,2,80
2,2017,4,10,0,0,0,1,2,108
2,2017,4,10,0,0,0,1,2,125
2,2017,4,10,0,0,0,1,2,129
5,2017,4,10,0,0,0,1,2,148
3,2017,4,10,0,0,0,1,2,209
1,2017,4,10,0,0,0,1,2,215
1,2017,4,10,0,0,0,1,2,257
1,2017,4,10,0,0,0,1,2,318
1,2017,4,10,0,0,0,1,2,331
1,2017,4,10,0,0,0,1,2,336
2,2017,4,10,0,0,0,1,2,346
1,2017,4,10,0,0,0,1,2,353
1,2017,4,10,0,0,0,1,2,389
1,2017,4,10,0,0,0,1,2,394
1,2017,4,10,0,0,0,1,2,407
1,2017,4,10,0,0,0,1,2,409
1,2017,4,10,0,0,0,1,2,479
1,2017,4,10,0,0,0,1,2,483
6,2017,4,11,0,0,0,2,2,2
6,2017,4,11,0,0,0,2,2,10
1,2017,4,11,0,0,0,2,2,15
2,2017,4,11,0,0,0,2,2,46
11,2017,4,11,0,0,0,2,2,76
6,2017,4,11,0,0,0,2,2,108
1,2017,4,11,0,0,0,2,2,117
1,2017,4,11,0,0,0,2,2,124
1,2017,4,11,0,0,0,2,2,125
1,2017,4,11,0,0,0,2,2,128
11,2017,4,11,0,0,0,2,2,148
1,2017,4,11,0,0,0,2,2,166
1,2017,4,11,0,0,0,2,2,195
5,2017,4,11,0,0,0,2,2,209
1,2017,4,11,0,0,0,2,2,224
1,2017,4,11,0,0,0,2,2,268
5,2017,4,11,0,0,0,2,2,346
1,2017,4,11,0,0,0,2,2,358
1,2017,4,11,0,0,0,2,2,380
1,2017,4,11,0,0,0,2,2,410
1,2017,4,11,0,0,0,2,2,437
1,2017,4,11,0,0,0,2,2,445
1,2017,4,11,0,0,0,2,2,467
2,2017,4,12,0,0,0,3,2,2
3,2017,4,12,0,0,0,3,2,10
1,2017,4,12,0,0,0,3,2,46
1,2017,4,12,0,0,0,3,2,52
5,2017,4,12,0,0,0,3,2,76
1,2017,4,12,0,0,0,3,2,77
1,2017,4,12,0,0,0,3,2,80
2,2017,4,12,0,0,0,3,2,108
1,2017,4,12,0,0,0,3,2,128
6,2017,4,12,0,0,0,3,2,148
1,2017,4,12,0,0,0,3,2,166
4,2017,4,12,0,0,0,3,2,209
1,2017,4,12,0,0,0,3,2,214
1,2017,4,12,0,0,0,3,2,310
2,2017,4,12,0,0,0,3,2,318
1,2017,4,12,0,0,0,3,2,346
1,2017,4,12,0,0,0,3,2,353
1,2017,4,12,0,0,0,3,2,407
1,2017,4,12,0,0,0,3,2,483
2,2017,5,6,1,0,0,6,2,2
4,2017,5,6,1,0,0,6,2,11
3,2017,5,6,1,0,0,6,2,33
2,2017,5,6,1,0,0,6,2,46
7,2017,5,6,1,0,0,6,2,76
1,2017,5,6,1,0,0,6,2,84
1,2017,5,6,1,0,0,6,2,90
1,2017,5,6,1,0,0,6,2,92
3,2017,5,6,1,0,0,6,2,108
4,2017,5,6,1,0,0,6,2,125
1,2017,5,6,1,0,0,6,2,128
1,2017,5,6,1,0,0,6,2,139
7,2017,5,6,1,0,0,6,2,148
2,2017,5,6,1,0,0,6,2,166
1,2017,5,6,1,0,0,6,2,171
1,2017,5,6,1,0,0,6,2,174
1,2017,5,6,1,0,0,6,2,176
1,2017,5,6,1,0,0,6,2,177
3,2017,5,6,1,0,0,6,2,209
2,2017,5,6,1,0,0,6,2,246
1,2017,5,6,1,0,0,6,2,318
2,2017,5,6,1,0,0,6,2,346
2,2017,5,6,1,0,0,6,2,381
1,2017,5,6,1,0,0,6,2,451
1,2017,5,6,1,0,0,6,2,453
1,2017,5,6,1,0,0,6,2,454
1,2017,5,6,1,0,0,6,2,483
1,2017,5,7,1,0,0,7,2,92
1,2017,5,7,1,0,0,7,2,148
1,2017,5,7,1,0,0,7,2,166
1,2017,5,7,1,0,0,7,2,209
1,2017,5,7,1,0,0,7,2,224
1,2017,5,7,1,0,0,7,2,241
1,2017,5,7,1,0,0,7,2,318
1,2017,5,7,1,0,0,7,2,467
3,2017,5,8,0,0,0,1,2,2
2,2017,5,8,0,0,0,1,2,10
1,2017,5,8,0,0,0,1,2,11
1,2017,5,8,0,0,0,1,2,46
6,2017,5,8,0,0,0,1,2,76
1,2017,5,8,0,0,0,1,2,83
3,2017,5,8,0,0,0,1,2,108
1,2017,5,8,0,0,0,1,2,128
7,2017,5,8,0,0,0,1,2,148
3,2017,5,8,0,0,0,1,2,209
1,2017,5,8,0,0,0,1,2,235
1,2017,5,8,0,0,0,1,2,318
1,2017,5,8,0,0,0,1,2,331
1,2017,5,8,0,0,0,1,2,344
3,2017,5,8,0,0,0,1,2,346
1,2017,5,8,0,0,0,1,2,407
1,2017,5,8,0,0,0,1,2,483
3,2017,5,9,0,0,0,2,2,2
1,2017,5,9,0,0,0,2,2,10
1,2017,5,9,0,0,0,2,2,46
1,2017,5,9,0,0,0,2,2,67
5,2017,5,9,0,0,0,2,2,76
4,2017,5,9,0,0,0,2,2,108
1,2017,5,9,0,0,0,2,2,125
1,2017,5,9,0,0,0,2,2,127
2,2017,5,9,0,0,0,2,2,128
2,2017,5,9,0,0,0,2,2,130
5,2017,5,9,0,0,0,2,2,148
1,2017,5,9,0,0,0,2,2,187
2,2017,5,9,0,0,0,2,2,209
1,2017,5,9,0,0,0,2,2,257
2,2017,5,9,0,0,0,2,2,282
2,2017,5,9,0,0,0,2,2,318
3,2017,5,9,0,0,0,2,2,346
1,2017,5,9,0,0,0,2,2,373
1,2017,5,9,0,0,0,2,2,407
1,2017,5,9,0,0,0,2,2,426
